HomeTeam,avg_goals_for_home,avg_goals_against_home,avg_shots_home,avg_shots_on_target_home,avg_corners_home,avg_fouls_home,avg_yellows_home,avg_reds_home,avg_goals_for_away,avg_goals_against_away,avg_shots_away,avg_shots_on_target_away,avg_corners_away,avg_fouls_away,avg_yellows_away,avg_reds_away
Arsenal,2.0526315789473686,1.0105263157894737,16.91578947368421,5.768421052631579,6.8,9.821052631578947,1.3894736842105264,0.06315789473684211,1.7789473684210526,1.0210526315789474,13.021052631578947,4.421052631578948,5.273684210526316,9.884210526315789,1.6,0.11578947368421053
Aston Villa,1.8210526315789475,1.3157894736842106,13.715789473684211,5.052631578947368,5.863157894736842,10.736842105263158,1.8631578947368421,0.06315789473684211,1.2526315789473683,1.4,11.48421052631579,4.0,5.094736842105263,11.115789473684211,2.2,0.06315789473684211
Bournemouth,1.2280701754385965,1.263157894736842,13.719298245614034,4.807017543859649,5.894736842105263,12.68421052631579,1.912280701754386,0.07017543859649122,1.3859649122807018,1.9649122807017543,12.192982456140351,4.315789473684211,4.7894736842105265,12.070175438596491,2.3859649122807016,0.03508771929824561
Brentford,1.6578947368421053,1.4210526315789473,12.710526315789474,4.815789473684211,4.881578947368421,8.828947368421053,1.644736842105263,0.05263157894736842,1.3421052631578947,1.5263157894736843,10.355263157894736,4.026315789473684,4.092105263157895,9.960526315789474,1.855263157894737,0.039473684210526314
Brighton,1.4526315789473685,1.2526315789473683,15.989473684210527,5.168421052631579,6.421052631578948,11.4,1.7473684210526317,0.031578947368421054,1.4421052631578948,1.5263157894736843,12.263157894736842,4.568421052631579,4.621052631578947,10.68421052631579,1.7894736842105263,0.11578947368421053
Burnley,0.8947368421052632,1.6666666666666667,11.929824561403509,3.6666666666666665,5.2631578947368425,10.263157894736842,1.4912280701754386,0.017543859649122806,1.0,1.5964912280701755,9.543859649122806,3.2982456140350878,4.157894736842105,10.87719298245614,1.7894736842105263,0.14035087719298245
Chelsea,1.7578947368421052,1.0842105263157895,16.0,5.842105263157895,6.421052631578948,11.010526315789473,1.9473684210526316,0.05263157894736842,1.5368421052631578,1.2526315789473683,13.23157894736842,4.8,5.336842105263158,11.305263157894737,2.1578947368421053,0.07368421052631578
Crystal Palace,1.3578947368421053,1.305263157894737,12.16842105263158,4.168421052631579,4.7894736842105265,11.221052631578948,1.768421052631579,0.07368421052631578,1.1578947368421053,1.5368421052631578,10.547368421052632,3.9263157894736844,4.294736842105263,11.336842105263157,1.8421052631578947,0.05263157894736842
Everton,1.2105263157894737,1.2736842105263158,12.452631578947368,4.3578947368421055,4.947368421052632,10.189473684210526,1.8526315789473684,0.09473684210526316,0.9578947368421052,1.5263157894736843,10.48421052631579,3.473684210526316,3.9368421052631577,11.25263157894737,2.0631578947368423,0.042105263157894736
Fulham,1.2894736842105263,1.4605263157894737,13.039473684210526,4.2368421052631575,5.368421052631579,10.710526315789474,1.736842105263158,0.07894736842105263,1.2236842105263157,1.4473684210526316,11.855263157894736,4.131578947368421,4.7105263157894735,11.802631578947368,2.25,0.05263157894736842
Ipswich,0.7368421052631579,2.3157894736842106,10.947368421052632,3.5789473684210527,4.105263157894737,10.210526315789474,1.7894736842105263,0.10526315789473684,1.1578947368421053,2.0,8.842105263157896,3.1052631578947367,3.526315789473684,12.421052631578947,2.6315789473684212,0.15789473684210525
